Artist,Title
Doja Cat,Paint The Town Red
SZA,Snooze
Taylor Swift,Cruel Summer
Luke Combs,Fast Car
Jung Kook & Jack Harlow,3D
Zach Bryan Featuring Kacey Musgraves,I Remember Everything
Morgan Wallen,Last Night
Gunna,Fukumean
Olivia Rodrigo,Vampire
Rema & Selena Gomez,Calm Down
Dua Lipa,Dance The Night
Nicki Minaj & Ice Spice With Aqua,Barbie World
Morgan Wallen,Thinkin' Bout Me
Tate McRae,Greedy
Miley Cyrus,Flowers
Bailey Zimmerman,Religiously
Jelly Roll,Need A Favor
Drake Featuring SZA,Slime You Out
Olivia Rodrigo,Bad Idea Right?
Taylor Swift,Anti-Hero
Lainey Wilson,Watermelon Moonshine
Lil Durk Featuring J. Cole,All My Life
Miley Cyrus,Used To Be Young
SZA,Kill Bill
*NSYNC,Better Place
Noah Kahan With Post Malone,Dial Drunk
Billie Eilish,What Was I Made For?
"Usher, Summer Walker & 21 Savage",Good Good
Doechii Featuring Kodak Black,What It Is (Block Boy)
Oliver Anthony Music,Rich Men North Of Richmond
Taylor Swift Featuring Ice Spice,Karma
"Metro Boomin, The Weeknd & 21 Savage",Creepin'
David Kushner,Daylight
Doja Cat,Agora Hills
Travis Scott,I Know ?
Jason Aldean,Try That In A Small Town
Jelly Roll With Lainey Wilson,Save Me
Chris Stapleton,White Horse
Young Nudy Featuring 21 Savage,Peaches & Eggplants
Travis Scott Featuring Drake,Meltdown
Rod Wave,Great Gatsby
Karol G & Peso Pluma,Qlona
Bad Bunny,Un Preview
"Peso Pluma, Gabito Ballesteros & Junior H",Lady Gaga
Olivia Rodrigo,Get Him Back!
Cardi B & Megan Thee Stallion,Bongos
Zach Bryan Featuring The War And Treaty,Hey Driver
Selena Gomez,Single Soon
Mitski,My Love Mine All Mine
Rod Wave,Boyz Don't Cry
Paul Russell,Lil Boo Thang
Rod Wave Featuring 21 Savage,Turks & Caicos
Zach Bryan Featuring Noah Kahan,Sarah's Place
Myke Towers,LaLa
Thomas Rhett Featuring Morgan Wallen,Mamaw's House
Kenya Grace,Strangers
Jung Kook Featuring Latto,Seven
Teddy Swims,Lose Control
Rod Wave,Call Your Friends
Rod Wave,Come See Me
Morgan Wallen,Everything I Love
Sexyy Red,SkeeYee
HARDY,Truck Bed
Karol G,Mi Ex Tenia Razon
Zach Bryan,Tourniquet
"The Weeknd, Playboi Carti & Madonna",Popular
Tyla,Water
Grupo Frontera & Grupo Firme,El Amor de Su Vida
Maluma & Carin Leon,Segun Quien
Lil Tecca,500lbs
Ice Spice,Deli
Travis Scott Featuring SZA & Future,Telekinesis
Olivia Rodrigo,All-American Bitch
Young Thug Featuring Drake,Oh U Went
Tim McGraw,Standing Room Only
Victoria Monet,On My Mama
Fuerza Regida,Sabor Fresa
"That Mexican OT, Paul Wall & DRODi",Johnny Dang
Peso Pluma & Grupo Frontera,Tulum
Noah Kahan,Stick Season
Dylan Scott,Can't Have Mine
Zach Bryan Featuring Bon Iver,Boys Of Faith
Rick Ross & Meek Mill,Shaq & Kobe
Warren Zeiders,Pretty Little Poison
Peso Pluma x Jasiel Nunez x Junior H,Bipolar
Olivia Rodrigo,The Grudge
Rod Wave,HG4
Tyler Childers,In Your Love
Dustin Lynch,Stars Like Confetti
Russell Dickerson,God Gave Me A Girl
Zach Bryan Featuring The Lumineers,Spotless
Lil Yachty & J. Cole,The Secret Recipe
Zach Bryan,Oklahoma Smoke Show
Calle 24 x Chino Pacas x Fuerza Regida,Que Onda
Travis Scott Featuring Playboi Carti,FE!N
Rod Wave,Long Journey
Luke Bryan,But I Got A Beer In My Hand
Peso Pluma,Rubicon
Zach Bryan,East Side Of Sorrow
Bad Bunny,Where She Goes
